,Message,Length
502,ratted source,13
503,to use chatgpt instead of sending ur code for people to fix,59
504,im giving him my source ill make him powerful,45
505,what he learned,15
506,he actually learned,19
507,nigga hyperion  will release if he even manages to learn,56
508,im making him my student,24
509,he does,7
510,people with similar pfp are retarded,36
511,to learn this,13
512,he doesnt have enough iq,24
513,rather get beaten up by hyperion,32
514,i see it,8
515,skids will evolve soon,22
516,stfu let the nigga learn,24
517,Does anyone how DLL inject method for Roblox,44
518,Guys,4
519,stupid paster,13
520,yes u will inherit my past,26
521,Until tomorrow,14
522,Best that I could,17
523,Understand,10
524,Alr I'm Gon adapt to it,23
525,im giving u my newest src,25
526,if u manage to do that,22
527,and build a replica,19
528,analyze the codes,17
529,Im just going to see how I can understand luau execution,56
530,its outdated,12
531,dont,4
532,How can I use it?,17
533,i got ballistic source code,27
534,oh ima try to check if it works without the whitelisting,56
535,u build it not run it,21
536,when i try to make the dll this error wanna ruin it,51
537,alr,3
538,to whitelist your address,25
539,whitelisting,12
540,use,3
541,also u have to,14
542,its will be tysm,16
543,oh not thx,10
544,thx,3
545,fixed,5
547,whats the error?,16
548,u are not dumb,14
549,im making the execution by myself,33
550,am i just dumb or dumbier,25
552,help can you help me with smth,30
553,In this channel?,16
554,u have to send it here to also update ur moral to this server,61
555,Thx,3
556,Ty for the suggestion I found an injection,42
557,like,4
558,u have to be level 99 pro skidder,33
559,thats level 1 skid,18
560,coding languages for coding a discord bot,41
561,i am already a skid   in  and  BDJS,35
562,praise sigma S. Skid,20
563,be a skid,9
564,ima try that,12
565,me when v3rm,12
566,i cant even find one code to skid💀,34
567,cant skid = noob,16
568,😦,1
569,i cant skid any code,20
570,skidding,8
571,what the working methods for injection?,39
572,Skid,4
573,Compile it on visual studio 😱,29
574,"im talking serious, i wanna learn",33
575,super funny,11
576,skid it,7
577,your name is skid guy,21
578,how do i make a dll for roblox,30
579,how yall getting ratted this quick 😭😭🙏🙏,39
580,bloody hell,11
581,@everyone\n50$ gift from steam\n[](,35
582,wow pro,7
583,and theres a bypass method,26
584,players address is watched with deleter2,40
585,when i get players address,26
586,i meant,7
587,...,3
588,deleter2 is a new injection method im using it!!!,49
589,ok your using deleter2,22
590,😭,1
591,even if it is deleter2,22
592,and hyperion wont crash,23
593,i can access to players in usermode],36
594,hyperion doesnt crash when i use deleter2,41
595,but i dont use it anymore because,33
596,Watched memory pool? or is it the one from the forum and you changed it a bit?,78
597,ddossed fbi servers only for real alphas,40
598,ping  -t -r 1,13
599,yes vro u are a real hacker 🥶,29
600,some human beings deserve to get ratted 🥀,41
601,im still upgrading hc,21
602,ill just use broken hc,22
603,how do u know if ur injector is working if u dont have a dll,60
604,with messagebox,15
605,noob just make ur own,21
606,send me a dll to inject,23
607,yeah i will showcase non working shit or fake,45
608,yeah i will,11
609,so true no lie,14
610,yes he will definitely showcase,31
611,ill showcase when im home,25
612,so what,7
613,big boy,7
614,ok showcase,11
615,lolz,4
616,does it work on roblox,22
617,i can send u my mm,18
618,LOL,3
619,stupid nigge,12
620,ok now learn how to manual map,30
621,for 7 months,12
622,thats why im off,16
623,i literally spent 7 months relearning c/c++,43
624,just get out,12
625,(while not being able to manual map),36
626,(he acts like he is genius),27
627,imagine not using mm,20
628,lmao winverifytrust,19
629,pro right,9
630,i use winverifytrust and verified cert for injection,52
631,show,4
632,im not,6
633,cuz u are still external lmao,29
634,let the nigga sleep,19
635,how bad it is,13
636,i want to see ur code,21
637,Strat,5
638,and then you blow him virtually for dll certificate.,52
639,you go to  and search up david bascuki,38
640,use 's strat,12
641,and when that doesn't work,26
642,just use like fucking sigtheif,30
643,anyone?,7
644,so uhh,6
645,yeah,4
646,tell me legit,13
647,i know what that is,19
648,is go to,8
649,all u need to do,16
650,on my pc,8
651,i have it,9
652,how do i use tha,16
653,pikachu,7
654,cert,4
655,i have verified cer,19
656,sir,3
657,and dont larp tf out of it,26
658,if its easy then say it,23
659,ok then u dont know,19
660,just method,11
661,i dont need code,16
662,tell me then,12
663,its easy bro,12
664,pliz,4
665,cuz i cant find a way yet 😭😭,28
666,i can make my own,17
667,please share,12
668,which one,9
669,I do,4
670,and doesnt need cert dll,24
671,do you know any that isnt?,26
672,shit,4
673,oh damn,7
674,It is already patched on some private build,43
675,i think it will prob get patched soon tho,41
676,yea,3
677,bruh cuz certifying would b so annoying,39
678,hmm,3
679,and thats certified ye?,23
680,the executor volt uses it pretty sure,37
681,like how r u sure,17
682,how do u know ntdll needs certificate?,38
683,dang,4
684,idk any other way yet,21
685,i dont want bytecode sstuffs,28
686,uhhhh,5
687,internal way,12
688,well u can still do changing bytecode on modules,48
689,certified dll,13
690,that doesnt need,16
691,an injector way,15
692,so do you know,14
693,wait,4
694,what does what have in it,25
695,what does it have in it,23
696,idrk how to do it i just know it works,38
697,?,1
698,cuz no way im certifying dll i cant find nothing of that,56
699,that works,10
700,what DOESNT need cert,21
701,certificate,11
702,so it works or certificate ur saying yes to,43
703,i thought that was only swhx ones,33
704,fuck no,7
705,yh,2
706,And ask them,12
707,Sir contact robloz,18
708,using ntcreatethreadex and stuff,32
709,does ntdll injection work and do i need to certificate my dll for it,68
710,ur point still shit  💔,22
711,real,4
712,🧏‍♂️,4
713,oh,2
714,im deaf,7
715,i dont know either,18
716,i can't see,11
717,i am blind,10
718,but how,7
719,see?,4
720,interals not internals,22
721,see i meant,11
722,interals 💔,10
723,bro doesnt get the point,24
724,holy yap,8
725,so anyone has a method?,23
726,because deleter method and other methods needs addresses and can change when someone is put in a zintegration channel,117
727,are there any method doing aobscan or something?,48
728,renderview logs method got patched,34
729,like a method that wont change every build,42
730,or taskscheduler renderjob,26
731,deleter,7
732,without like,12
733,datamodel,9
734,who has a method for gettin,27
735,btw,3
736,damn,4
737,i am not internal,17
738,i inject but i dont read and write,34
739,internal reads and writes memory 😭,34
740,oh wtf,6
741,wtf is this?,12
742,hate when tis shit happens 💔,28
743,😔,1
744,ReadProcessMemory injection is it new method?,45
745,method's been around about as long as Roblox exploiting,55
746,what happened to good ol' scheduler?,36
747,I use VTable,12
748,like context based memory scanning is how i get mine,52
749,there is still a couple ways,28
750,"add offset, deref add offset deref I think",42
751,"You search ""GuiRoot\x00GuiItem\x00""",35
752,ah ok,5
753,There was the rootgui method but idk if it still works,54
754,anybody got a datamodel method or source with datamodel method,62
755,or join humorouscartel for sources and skid them all!!,54
756,"search on the whole channels of hydra ""luavm"" and you will see source codes of how to do it",91
757,id rather use one of them usbs,30
758,expensiv,8
759,at this point just build ur own CPU with a backdoor that allows you to cheat.,77
760,DMA was an option,17
761,"No, since it uses kernel mode anticheat, it can intercept functions used by externals like OpenProcess, instantly banning you just by opening the process handle.",161
762,print(decrypt),14
763,decrypt(),9
764,do you know any way to decrypt luavm_load??,43
765,"luavm_load, although I don't know the differences, I'm sorry, I'm a new.",72
766,delete system32,15
767,can anyone help me>? make a dll for my roblox executor,54
768,luau_load is inlined you know right?,36
769,you mean luau_load?,19
770,bytecodeversionmistach?,23
771,Although I have had problems to obtain the oldresult and BytecodeVersionMistach,79
772,Vulkan but enter or create a game where you can dump the functions,66
773,I'm obviously jokingness,24
774,robloxdunper(),14
775,And no I didn't even see yours before changing,46
776,i will nuke your booty,22
777,or else,7
778,and i will permit,17
779,change one letter,17
780,kian,4
781,xian to,7
782,please change,13
783,you have stealing my name,25
784,Externals can write memory too fucktard,39
785,and interals reads and writes memory,36
786,externals only read memory,26
787,i think u meant internals,25
788,externals?,10
789,what,4
790,brow hat,8
791,most usermodes detected so u get banned rq,42
792,u can use drivers or such,25
793,it depends,10
794,well,4
795,and it will always b detectd,28
796,externals actually more detected believe it,43
797,usermode not really,19
798,do kernel it should b able to,29
799,tatsumaki,9
800,wanna fuck?,11
801,apperantly COW,14
802,tesla auto pilot code leaked\n\n,32
803,L2,2
804,"\n\nprogramming method leaked (start here, dont dive right into cpp or c)",73
805,wh od ou think uare?,20
806,\n,2
807,link is here:,13
808,plz help with my exec guys,26
809,noob,4
810,get it right next time,22
811,"function didhackeraccessmemory()\n\nif didhackeraccessmemory() then\nprint(""hacker"")\nelse\nprint(""no hacker"")\nend",115
812,😎,1
813,open cmds and input color 3 and then ping and you are an hacker now,67
814,bro how do i hack tthe game,27
815,integrity check,15
816,hook,4
817,"didhackeraccessmemory()\n\nif didhackeraccessmemory() then\nprint(""hacker"")\nelse\nprint(""no hacker"")\nend",106
818,guys how?,9
819,it means that someone else moved it like a sus dll or an external exploit,73
820,if they detect that memory is in working set when it's not supposed to,70
821,they detect by moving memory out of working set when they don't use it and move it back when they use it,104
822,bro wut is that explanation,27
823,and read memory for some reason,31
824,ok,2
825,write memory and all shit,25
826,as even swhx,12
827,its like as you inject your dll into process,44
828,you said they check so you probably understood,46
829,"tf you mean "" detect when a dll access memory""",46
830,oka,3
831,..,2
832,they check,10
833,how can a anticheat detect when a dll access memory?,52
834,??,2
835,anything is detected,20
836,you dont need readprocessmemory in an internal\nyou can use cheat engine and suspend roblox or use undetected cheat engine to find the offsets it not hard,154
837,It's the other way around except you don't know how to read,59
838,5 updates ago,13
839,oh ok,5
840,thats from like,15
841,but yeah thats how we get it,28
842,unupdated,9
843,the address was wrong so i thought,34
844,idc but address is 0x5D57E48,28
845,but thats how it would work,27
846,address then,12
847,i named it wrong most likely,28
848,not pointer or whatever but,27
849,0x5D57E48 is the fake datamodel wdym?,37
850,someone with smart role posted about this long time ago in my server,68
851,this nigga wont read my tutorials,33
852,the pointer addr idk about,26
853,`0x5BF4B58 = fake datamodel pointer\n\nauto fakeDataModel = mem->read(memory->base() + 0x5BF4B58);\nauto DataModel = mem->read(fakeDataModel + 0x1a8);\n\nrenderjob + 0x218`,172
854,# New offsets out\n,19
855,I think it's like this\n,24
856,Does someone know how to find fake datamodel pointer address and real datamodel offset?,87
857,Is there a way to modify protected memory without roblox crashing,65
858,i already figured it out,24
859,can someone help me with it?,28
860,nope i couldn't fix it,22
861,roblox closes itself,20
862,after sometime,14
863,it executes but,15
864,for scheduling script,21
865,I am trying to hook heartbeat job,33
866,so can someone help me?,23
867,Hello,5
868,idk why but it works,20
869,tip:\nSearch: [What you want] git\nand you'll find what you want,64
870,just search on google,21
871,50 ways,7
872,can be done in like,19
873,i believe ur referring to manual mapping,40
874,but thank you,13
875,"map PE file, run initialization functions, call main",52
876,manual mapping,14
877,litteraly,9
878,poor ui is getting cooked,25
879,you meant stean?,16
880,im like half way there,22
881,im having trouble doing it myself,33
882,do yk how to do it ?,20
883,very pro injection method,25
885,give please!,12
886,dll are a bitch but got it,26
887,ITS WORKING HAHAHAHHA,21
888,wait maybe i sould use tanparent and not blur,45
889,is there to much blur,21
890,fixed the icon issuse,21
891,ok so haveing deleted files in program will trow error even tho you dont have anything linked to it Got it,106
892,how do you lock the size  in cs xaml,36
893,i made this method a lil bit better,35
894,whats the method,16
895,nah i figured out better method,31
896,and it wont freeze roblox or crash,34
897,u can try suspending ntdlls with cycles lower than  or something,64
898,its ok,6
899,roblox didnt like that,22
900,and i tried to make every cert verified,39
901,nah it was cus my ntdll threads were gone,41
902,topointer,9
903,was before it was leaked,24
904,(to paste 8 level method),25
905,i skidded it for free😎,22
906,"retard u selling luna source for 20 dollars, this shitsploit not even worth it",78
907,He doesn't mean roblox,22
908,Retard,6
909,and use shuffles with encs instead,34
910,what a massive spoon u need,27
911,bro did i just get hardware banned...?,38
912,economy simulator,17
913,what is ESCR,12
914,r,1
915,what do you need ths fo,23
916,lllllmao,8
917,u dont need all that,20
918,I'm sorry for asking but I'm determined to get this done.,57
919,lua_tolstring\nlua_toboolean\nlua_pushnumber\nlua_pushboolean\nlua_tonumber\nlua_newuserdata\nlua_getmetatable\nlua_type\nlua_newthread\nlua_gettop\nlua_pushlightuserdata\nlua_touserdata,186
920,Heres the addresses.,20
921,Hello World! I'm trying to find some addresses for ECSR revival. Sadly I have no Idea how to find these specifically,116
922,чтобы работало нормально надо самому разобраться в чем дело и исправить,71
923,"I'm just saying Facts, No need to get mad",41
924,хуесос ебанный,14
925,By not skidding,15
927,sent in your dm,15
928,suply,5
929,power,5
930,in your,7
931,i planted a bomb,16
932,why my pc boom boom?,20
933,[In Chat vs In Studio](,23
934,💣,1
935,bomb,4
936,ys,2
937,boom?,5
938,idk,3
939,what are you counting down,26
940,not that fast,13
941,yep,3
942,ye,2
943,still 4,7
944,its fine,8
945,or nvm,6
946,maybe,5
947,inside the .sln,15
948,5 min,5
949,all the files,13
950,can you just upload,19
951,i have the same problem,23
952,slow wifi core,14
953,9 mins now,10
954,11 mins left 😭,14
955,i think,7
956,habibi,6
957,you can say habibi to anyone,28
958,im arabic,9
959,it dosnt matter,15
960,c,1
961,th akns,7
962,i am not arabi,14
963,wdym habibi?,12
964,drive google,12
965,let me upload it on,19
966,yoooo,5
967,i don't have mega account,25
968,wait is that turkish,20
969,plzr,4
970,upload it into,14
971,[bruh](,7
972,buy me nitro,12
973,in task bar,11
974,legit just search up,20
975,plesae bro,10
976,My pc is messy,14
977,I am not searching for it for 1 hours bruh,42
978,i know damn well you don't have an .exe without the .sln,56
979,can you please just send me your .sln for ballistic,51
980,for the love of god,19
981,dll does the all other work,27
982,Injector just injects it,24
983,then the injector done its work,31
984,injects the dll,15
985,if the injector,15
986,injector DOES matter,20
987,the dll code matters,20
988,injector doesn't matter,23
989,and like i said before,22
990,like chrono and others,22
991,you need to include these,25
992,I think they are because of include,35
993,I think that is the last source code i have,43
994,.sln,4
995,your entire,11
996,can you just send me like,25
997,when i built,12
998,I didn't had any errors,23
999,I don't know then,17
1000,because i have so many,22
1001,with ts,7
1002,do you have any errors,22
1003,because they are just sort folders for you,42
1004,they don't matter,17
1005,and,3
1006,i dont use them,15
1007,so you don't have these folders named source or headers,55
1008,use the button at the right,27
1009,and cpp in source,17
1010,header,6
1011,do i just put the hpp filse in,30
1012,god,3
1013,for the love of go,18
1014,send me the code,16
1015,i am NOT installing that,24
1016,i already tried,15
1017,i cant find it anymore,22
1018,send me c++ ballistic,21
1019,injector,8
1020,c++ ballistic,13
1021,is c# converted,15
1022,and the c# you are using,24
1023,aree you using,14
1024,whos,4
1025,and if you want,15
1026,matter,6
1027,doesn't,7
1028,the injector,12
1029,then it should work,19
1030,if you have injector,20
1031,send me your C++ one,20
1032,i have a C# injector,20
1033,wtf,3
1034,c++ ofc,7
1035,is your injector in C# or C++,29
1036,send me the code to your injector,33
1037,but i didn't do it,18
1038,you could do freelibraryandexit or smh at the end,49
1039,one minute,10
1041,dll,3
1042,the entire,10
1043,send me,7
1044,"roblox_print(1LL, ""aa"");",24
1045,then,4
1046,this,4
